SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
513108,GANDHI SP.TU,B ,Q,805.00,805.35,784.00,788.20,793.95,812.80,201,1477,1173472.00,,INE524B01027,19-Jun-24,,
513117,AMFORGE IND.,X ,Q,11.34,11.34,10.90,11.02,11.01,11.03,55,7840,86831.00,,INE991A01020,19-Jun-24,,
513121,ORICON ENT  ,B ,Q,42.55,43.00,40.62,41.17,41.44,42.57,1588,231998,9648538.00,,INE730A01022,19-Jun-24,,
513149,ACROW INDIA ,X ,Q,725.20,818.00,725.20,818.00,818.00,778.00,2,2,1543.00,,INE950D01012,19-Jun-24,,
513173,STL STR INF ,X ,Q,33.95,33.95,31.60,33.25,33.25,33.50,110,1566,51555.00,,INE205F01016,19-Jun-24,,
513228,PENNAR STEEL,B ,Q,173.00,173.00,165.70,168.70,169.10,169.45,1387,65443,11064324.00,,INE932A01024,19-Jun-24,,
513250,JYOTI STRUCT,B ,Q,27.84,28.85,27.00,28.85,28.85,27.48,2874,1181802,33308933.00,,INE197A01024,19-Jun-24,,
513252,JAY USHIN   ,X ,Q,730.00,737.00,706.00,712.50,706.00,750.00,27,423,305592.00,,INE289D01015,19-Jun-24,,
513262,ST.STR.WHEEL,B ,Q,224.00,225.20,218.25,218.65,218.65,220.50,2681,65814,14512049.00,,INE802C01033,19-Jun-24,,
513269,MAN IND.(I) ,B ,Q,420.05,427.35,393.40,395.90,395.90,419.45,2418,87253,35434470.00,,INE993A01026,19-Jun-24,,
513303,MODERN STEEL,X ,Q,20.20,21.10,19.80,20.22,20.05,20.52,125,8031,162304.00,,INE001F01019,19-Jun-24,,
513307,SYNTHIKO FOI,XT,Q,71.47,71.47,69.32,69.32,69.32,71.49,13,257,18365.00,,INE363L01029,19-Jun-24,,
513309,GOLKONDA    ,X ,Q,15.45,15.90,15.45,15.73,15.73,15.55,89,13311,207717.00,,INE327C01031,19-Jun-24,,
513337,GUJ.TOOLROOM,XT,Q,15.07,15.07,15.07,15.07,15.07,15.37,664,1069208,16112964.00,,INE145J01032,19-Jun-24,,
513349,AJMERA      ,B ,Q,713.00,715.05,689.05,691.20,691.10,711.65,477,3844,2694950.00,,INE298G01027,19-Jun-24,,
513353,COCHIN MIN. ,X ,Q,272.00,273.80,268.20,272.70,272.70,271.35,255,13357,3622784.00,,INE105D01013,19-Jun-24,,
513361,ISW LTD     ,X ,Q,3.51,3.63,3.46,3.56,3.57,3.59,733,276115,978277.00,,INE072A01029,19-Jun-24,,
513369,KVFORGE     ,X ,Q,97.99,98.05,93.39,95.04,95.01,93.52,66,4337,414593.00,,INE013J01016,19-Jun-24,,
513375,CARBORUNDUM ,A ,Q,1815.00,1821.65,1763.40,1798.90,1820.00,1780.35,729,3609,6425446.00,,INE120A01034,19-Jun-24,,
513377,MINERAL&METL,A ,Q,84.50,87.40,83.10,83.46,83.46,83.80,6364,1236759,105225972.00,,INE123F01029,19-Jun-24,,
513397,VALLABH STEL,XT,Q,12.37,12.37,11.24,11.42,11.24,11.83,36,13949,167143.00,,INE457E01016,19-Jun-24,,
513401,ASHIANA ISP.,X ,Q,49.00,50.50,48.50,49.11,48.50,51.19,94,6537,322782.00,,INE587D01012,19-Jun-24,,
513403,PM TELELINN ,X ,Q,5.50,5.74,5.50,5.74,5.74,5.56,40,11062,61579.00,,INE092C01015,19-Jun-24,,
513418,SMFIL       ,X ,Q,5.14,5.14,4.96,5.02,5.00,5.08,107,36652,184740.00,,INE728B01032,19-Jun-24,,
513422,BLOOM INDUST,X ,Q,27.40,27.40,24.55,25.60,25.79,26.88,21,1241,31771.00,,INE373E01015,19-Jun-24,,
513430,MAITRI      ,XT,Q,28.65,28.65,28.65,28.65,28.65,28.60,2,5,143.00,,INE501L01024,19-Jun-24,,
513436,SHAH ALLOYS ,B ,Q,71.00,71.00,66.00,66.33,67.48,69.01,70,1337,90894.00,,INE640C01011,19-Jun-24,,
513452,ELANGO INDUS,X ,Q,10.00,10.04,9.15,9.95,10.03,9.57,43,3802,36545.00,,INE594D01018,19-Jun-24,,
513456,KANISHK ST. ,X ,Q,30.00,30.95,28.60,28.91,29.69,29.57,74,6736,197699.00,,INE791E01018,19-Jun-24,,
513460,MAHALAXMI SM,Z ,Q,11.07,11.62,10.52,11.62,11.62,11.07,28,16269,173359.00,,INE257F01017,19-Jun-24,,
